Time,HMDP.x,HMDP.y,HMDP.z,HMDR_Q.x,HMDR_Q.y,HMDR_Q.z,HMDR_Q.w,LeftHandP.x,LeftHandP.y,LeftHandP.z,LeftHandR_Q.x,LeftHandR_Q.y,LeftHandR_Q.z,LeftHandR_Q.w,RightHandP.x,RightHandP.y,RightHandP.z,RightHandR_Q.x,RightHandR_Q.y,RightHandR_Q.z,RightHandR_Q.w,TriggerPull
0.4748648,0.2333205,1.187809,-0.1090788,-0.05389678,0.09803724,-0.0243101,-0.9934249,0.1466097,0.8229659,0.1282543,0.3006237,-0.1700879,0.4902367,-0.8002273,0.3145498,0.9008284,0.2525108,0.1586231,0.1294417,-0.2942912,-0.9335289,0
0.4859983,0.2335075,1.187391,-0.1090509,-0.05623458,0.09785666,-0.02439616,-0.9933109,0.1442852,0.8256256,0.1275904,0.3050557,-0.1696206,0.5014732,-0.7916404,0.315485,0.9029349,0.2499987,0.1799951,0.1237473,-0.3211973,-0.9214774,0
0.4971039,0.2336026,1.187014,-0.1088855,-0.05812381,0.09775531,-0.02433521,-0.9932137,0.1420058,0.8285186,0.1270478,0.3088058,-0.1688307,0.5105722,-0.784507,0.3162556,0.9056425,0.2479725,0.2006915,0.1182018,-0.347656,-0.9082327,0
0.5082107,0.2337149,1.186807,-0.1086992,-0.05982947,0.09756845,-0.02406324,-0.9931374,0.1395475,0.8315435,0.1266855,0.3113858,-0.168506,0.5175689,-0.7789527,0.3171473,0.9072323,0.2459849,0.2164007,0.1140502,-0.3700089,-0.896246,0
0.5193759,0.2338052,1.186499,-0.1084863,-0.06100981,0.09736717,-0.02387565,-0.9930899,0.1374405,0.8347218,0.1264125,0.3142908,-0.1682092,0.5245453,-0.773162,0.3179282,0.9096463,0.2440348,0.2328891,0.1114617,-0.3923047,-0.8828568,0
0.5304093,0.2339991,1.186273,-0.1083534,-0.06205491,0.09714212,-0.023748,-0.9930503,0.1357468,0.8381404,0.1261498,0.3186242,-0.1677937,0.5305354,-0.7673696,0.3181305,0.9114417,0.241913,0.2479622,0.1091191,-0.4172034,-0.867496,0
0.5416914,0.2341155,1.185936,-0.1081827,-0.06303494,0.09681732,-0.02377578,-0.9930196,0.1348525,0.8418171,0.1253171,0.3245274,-0.1689597,0.5356336,-0.7610725,0.3186595,0.9131814,0.2400835,0.2610939,0.106695,-0.4380153,-0.8535741,0
0.5527471,0.2342942,1.185678,-0.1081054,-0.0640385,0.09640509,-0.02400341,-0.99299,0.1340198,0.8459818,0.1245408,0.3326784,-0.1711059,0.5381821,-0.7552535,0.3189811,0.9157922,0.2382507,0.2686028,0.1091699,-0.4451811,-0.8472004,0
0.56385,0.2344432,1.185313,-0.1079916,-0.06526974,0.0961713,-0.02411828,-0.9929296,0.1330716,0.8500972,0.1237772,0.3400546,-0.17262,0.5393889,-0.7507496,0.3194653,0.9183633,0.2365737,0.2775778,0.1097108,-0.4510872,-0.8410913,0
0.5750706,0.2346336,1.185016,-0.1079841,-0.06650275,0.09614031,-0.02417977,-0.9928494,0.1323436,0.8549222,0.123085,0.3493913,-0.1732326,0.5363873,-0.7484685,0.3193986,0.9210621,0.2352093,0.2850434,0.1108135,-0.454356,-0.8366787,0
